nl,act1,act2,act3,slot1,slot2,slot3
i want to find a $pricerange$ priced restaurant,inform,,,pricerange,,
$phone$ and type of $food$,request,request,,phone,food,
type of $food$ do they serve,request,,,food,,
im looking for a restaurant in the $area$ part of town that serves,inform,,,area,,
whats the $addr$ and $postcode$,request,request,,addr,postcode,
im looking for a $pricerange$ restaurant in the $area$ part of to,inform,inform,,pricerange,area,
what is their $phone$ and type of $food$,request,request,,phone,food,
im looking for a restaurant in the $area$ of town that serves,inform,,,area,,
im looking for a restaurant in the $area$ of town that,inform,,,area,,
modern euorpean,inform,,,food,,
looking for a $pricerange$ priced restaurant that serves $food$ food,inform,inform,,food,pricerange,
asian ori,inform,,,food,,
what about $food$ foo,inform,,,food,,
asian,inform,,,food,,
oriental,inform,,,food,,
im looking for a restaurant that serves $food$ food in the $pricerange$ price ran,inform,inform,,food,pricerange,
what type of $food$ do they ser,request,,,food,,
im looking for a restaurant in the $pricerange$ price range that serves $food$ food,inform,inform,,food,pricerange,
like to find a restaurant in the $area$ part of town and it should serve $food$ food,inform,inform,,food,area,
ooh thank you good bye,bye,,,,,
i am looking for an $pricerange$ restaurant that serves,inform,,,pricerange,,
what is their $addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
and the $phone$ again,request,,,phone,,
no the $phone$,request,,,phone,,
what was the $phone$ for chiquito,request,,,phone,,
$name$,inform,,,name,,
im looking for an $pricerange$ restaurant in $area$ part of town,inform,inform,,pricerange,area,
what is the $addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
sorry about my mistakes thank you good bye,bye,,,,,
whats your $addr$,request,,,addr,,
im looking for an $pricerange$ restaurant that serves sea food,inform,inform,,food,pricerange,
what is their $addr$ and tele$phone$,request,request,,addr,phone,
do they serve sea food,confirm,,,food,,
i want sea food,inform,,,food,,
whats the $addr$ and $area$,request,request,,addr,area,
$area$ is it in,request,,,area,,
whats their $addr$ and $phone$,request,request,,addr,phone,
whats your $phone$ and $postcode$,request,request,,phone,postcode,
$food$ do they serve,request,,,food,,
what about $area$ area,inform,,,area,,
what is the $addr$ and the type of $food$,request,request,,addr,food,
bask food,inform,,,food,,
im looking for $food$ food in the $area$ of town,inform,inform,,food,area,
how about a $food$,inform,,,food,,
im looking for a $pricerange$ priced restaurant serving $food$ food,inform,inform,,food,pricerange,
in what $area$,request,,,area,,
im looking for a restaurant in the $area$ of town,inform,,,area,,
i want to find a restaurant serving $food$ food,inform,,,food,,
im looking for a $food$ restaurant in the $area$ of town,inform,inform,,food,area,
no $food$,negate,,,food,,
how about $pricerange$ price range,inform,,,pricerange,,
how about $pricerange$ priced $food$ food,inform,inform,,food,pricerange,
im looking for a $food$ restaurant in the $area$ part,inform,inform,,food,area,
im looking for an $food$ restaurant in the,inform,,,food,,
id like to find a $pricerange$ priced restaurant in the $area$ part of,inform,inform,,pricerange,area,
i am looking for a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
i want to find a restaurant in the $area$,inform,,,area,,
im looking for a restaurant in the $area$ part of town that serves belgium food,inform,inform,,food,area,
is there a restaurant that serves $food$ food,inform,,,food,,
i want to find a $pricerange$ restaurant and it should serve $food$ food,inform,inform,,food,pricerange,
i want to find a $pricerange$,inform,,,pricerange,,
okay could i have the $phone$ and $postcode$,request,request,,phone,postcode,
want to find a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
im looking for $food$ food in the $pricerange$ price range,inform,inform,,food,pricerange,
can i have the $addr$ and $phone$,request,request,,addr,phone,
$addr$ and $phone$ please,request,request,,addr,phone,
and its $addr$,request,,,addr,,
uh what is its $addr$,request,,,addr,,
and what is the $pricerange$,request,,,pricerange,,
and what is the $postcode$,request,,,postcode,,
im looking for $food$ food on the $area$ part of town,inform,inform,,food,area,
how about an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
uh whats the $addr$,request,,,addr,,
looking for a $pricerange$ priced restaurant that serves $food$,inform,inform,,food,pricerange,
looking for $food$ food in the $area$ of town,inform,inform,,food,area,
ts the $phone$,request,,,phone,,
um im looking for a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
looking for a $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
i would like some $food$ food,inform,,,food,,
i would like an $pricerange$ asian food restaurant,inform,inform,,food,pricerange,
i would like a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
a $pricerange$ restaurant,inform,,,pricerange,,
would like $food$ food,inform,,,food,,
just give me a $pricerange$ restaurant,inform,,,pricerange,,
yea i would like $food$ food,inform,,,food,,
what kind of $food$ does it serve,request,,,food,,
can i get the $addr$ and $postcode$,request,request,,addr,postcode,
id like $pricerange$ priced $food$ food,inform,inform,,food,pricerange,
yea id like a restaurant in the $area$ part of town thats,inform,,,area,,
no id like,negate,,,,,
about $food$,inform,,,food,,
$food$ food in the $area$ part of town,inform,inform,,food,area,
need it in $area$,inform,,,area,,
i would like a $pricerange$,inform,,,pricerange,,
i would like $food$ food in the $area$ part of,inform,inform,,food,area,
let me get some $food$ food and i dont care about the $pricerange$,inform,doncare,,food,pricerange,
what else do you have,reqalts,,,,,
i would like a $pricerange$ restaurant,inform,,,pricerange,,
i would like $food$ food in the $area$ part of town,inform,inform,,food,area,
i would like $pricerange$ food,inform,,,pricerange,,
um want to find a $pricerange$ priced restaurant in the,inform,,,pricerange,,
any type is fine,dontcare,,,,,
what is the $phone$ and $addr$,request,request,,phone,addr,
i want to find a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
may i get the $addr$ and $phone$,request,request,,addr,phone,
may i get the $phone$,request,,,phone,,
may i have the $phone$ and $addr$,request,request,,phone,addr,
i need a $pricerange$ priced restaurant that serves bask food,inform,inform,,food,pricerange,
may i have the $addr$ and $phone$,request,request,,addr,phone,
uh yes im looking for a $food$ restaurant in new york city,inform,,,food,,
and $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
malyasian,inform,,,food,,
may i get the $addr$ $phone$ and $pricerange$,request,request,request,addr,phone,pricerange
may i get the $pricerange$,request,,,pricerange,,
$food$ food in the $area$,inform,inform,,food,area,
may i have the $addr$ $phone$ and $pricerange$,request,request,request,addr,phone,pricerange
may i have the $pricerange$,request,,,pricerange,,
may i get the $phone$ and $postcode$,request,request,,phone,postcode,
may i get the $postcode$,request,,,postcode,,
may i get the $addr$ $phone$,request,request,,addr,phone,
and $postcode$,request,,,postcode,,
may i get the $addr$,request,,,addr,,
may i have a $phone$ and $postcode$,request,request,,phone,postcode,
may i have the $postcode$,request,,,postcode,,
music im looking for a $pricerange$ priced restaurant in the $area$ part of town please,inform,inform,,pricerange,area,
what is there $addr$,request,,,addr,,
okay um thank you good bye,bye,,,,,
hi im looking for a $pricerange$ priced restaurant,inform,,,pricerange,,
um $food$ food,inform,,,food,,
what is their $addr$ and $phone$ please,request,request,,addr,phone,
hi im looking for a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
uh $food$ type,inform,,,food,,
uh is there a restaurant that serves $food$ food,inform,,,food,,
um $pricerange$,inform,,,pricerange,,
what is the $phone$ an $postcode$,request,request,,phone,postcode,
can you repeat the $postcode$ please,request,,,postcode,,
um i would like to find an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
um it doesnt matter,dontcare,,,,,
um can i get the $addr$ and $phone$,request,request,,addr,phone,
can you repeat the $phone$ and $addr$ please,request,request,,phone,addr,
can you repeat the $addr$ please,request,,,addr,,
im looking for a restaurant that serves $food$ food in the $area$ of,inform,inform,,food,area,
um how about $food$ food,inform,,,food,,
may i get the $addr$ and restaurant and,request,,,addr,,
a $phone$ please,request,,,phone,,
and what is the $addr$ please,request,,,addr,,
im looking for a $food$ restaurant in the $area$ part of town,inform,inform,,food,area,
um what about $food$ food,inform,,,food,,
what is their $addr$ and $phone$,request,request,,addr,phone,
what was their $addr$ again please,request,,,addr,,
um in the $area$ part of town,inform,,,area,,
ah $food$ food,inform,,,food,,
i would like $food$ food in the $area$ part of town please,inform,inform,,food,area,
what is the $addr$ please,request,,,addr,,
im looking for a $pricerange$ priced restaurant in the $area$ part,inform,inform,,pricerange,area,
i would like to find a $pricerange$ priced restaurant in the $area$ part of town please,inform,inform,,pricerange,area,
um what is the $addr$ and $phone$,request,request,,addr,phone,
what is its $phone$,request,,,phone,,
what is the $phone$ please,request,,,phone,,
um thank you goodbye,bye,,,,,
i need an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
alright whats the $addr$,request,,,addr,,
okay and whats the $postcode$,request,,,postcode,,
i want a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
i need a restaurant that serves $food$ food,inform,,,food,,
did you see a $food$ restaurant,inform,,,food,,
i need a $food$ restaurant that is $pricerange$ priced,inform,inform,,food,pricerange,
what about a $food$ restuarant,inform,,,food,,
is that in the $area$ part of town,confirm,,,area,,
is it in the $area$ part of town,confirm,,,area,,
i want one in the $area$ part of town,inform,,,area,,
what kind of $food$,request,,,food,,
what $food$ do they serve,request,,,food,,
i want a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
looking for a $food$ restaurant in the $area$,inform,inform,,food,area,
i want a $pricerange$ priced $food$ restaurant,inform,inform,,food,pricerange,
oh i dont care,dontcare,,,,,
alright thank you good bye,bye,,,,,
what the $addr$,request,,,addr,,
what type of $food$ does the venue serve,request,,,food,,
no how about $food$,negate,,,food,,
i need a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
i need a $food$ restaurant in the $area$ part of town,inform,inform,,food,area,
is that $food$,confirm,,,food,,
alright whats the $phone$,request,,,phone,,
im looking for a restaurant in $area$ area and it should serve pan asian food,inform,inform,,food,area,
$pricerange$ range is fine,inform,,,pricerange,,
hi i want to find a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
i hate $name$ is there anything else,negate,,,name,,
are there any other restaurants,reqalts,,,,,
great whats the $addr$,request,,,addr,,
whats the type of $food$ they serve,request,,,food,,
alright thank you bye,bye,,,,,
im looking for an $pricerange$ restaurant and it should serve $food$ food,inform,inform,,food,pricerange,
a $food$,inform,,,food,,
next,reqalts,,,,,
im looking a $pricerange$ restaurant,inform,,,pricerange,,
in the $area$ part of the town,inform,,,area,,
okay show me the $addr$,request,,,addr,,
and finally the $postcode$,request,,,postcode,,
$area$ bart,inform,,,area,,
next one,reqalts,,,,,
no new selection,negate,,,,,
no im looking in the $area$ of the town,negate,,,area,,
im looking chineese food,inform,,,food,,
okay give me $addr$,request,,,addr,,
okay $addr$,request,,,addr,,
okay good bye,bye,,,,,
im looking at a $pricerange$ restaurant and it should be,inform,,,pricerange,,
next one please,reqalts,,,,,
okay please give me the $phone$,request,,,phone,,
im looking for a restaurant in $area$ area it should serve $food$ food,inform,inform,,food,area,
i want to find $pricerange$ priced restaurant it should be,inform,,,pricerange,,
im looking for $pricerange$ restaurants that serve $food$ food,inform,inform,,food,pricerange,
what is the $phone$ and $postcode$ of the venue,request,request,,phone,postcode,
im looking for a restaurant in central it should serve $food$ food,inform,inform,,food,area,
central inaudible,inform,,,area,,
i am looking for a $pricerange$ priced restaurant in the $area$,inform,inform,,pricerange,area,
i do not care,dontcare,,,,,
could i have the $phone$ and type of venue,request,,,phone,,
and the type of $food$,request,,,food,,
could i have the $addr$ please,request,,,addr,,
could i have the $phone$,request,,,phone,,
iam looking for a $pricerange$ restaurant and it should be in the $area$ part of town,inform,inform,,pricerange,area,
there any other,reqalts,,,,,
could i have another one,reqalts,,,,,
could i have the $addr$ and $phone$ of the venue,request,request,,addr,phone,
im looking for a $food$ type of restaurant,inform,,,food,,
i am looking for a $pricerange$ priced restaurant and it should,inform,,,pricerange,,
it should serve $food$ food,inform,,,food,,
may i have the $addr$ of the venue,request,,,addr,,
i would like to find a restaurant in the $area$ and it should serve $food$ food,inform,inform,,food,area,
yes that serves $food$ food,inform,,,food,,
i am looking for a restaurant in the $area$ that serves $food$ food,inform,inform,,food,area,
i do not care about the price range im just looking for a restaurant in the $area$ that serves $food$ food,inform,inform,inform,food,pricerange,area
and $pricerange$,request,,,pricerange,,
i am looking for a $pricerange$ priced restaurant in the,inform,,,pricerange,,
could i have the $addr$ and $phone$ please,request,request,,addr,phone,
could i have the $phone$ and $postcode$,request,request,,phone,postcode,
i am looking for a $pricerange$ restaurant and it should be in the $area$ part of town,inform,inform,,pricerange,area,
could i have the $phone$ please,request,,,phone,,
i am looking for a $pricerange$ restaurant,inform,,,pricerange,,
and it should be in the $area$ part of town,inform,,,area,,
could i get the $phone$ please,request,,,phone,,
iam looking for an $pricerange$ restaurant and it should be in the $area$ part of town,inform,inform,,pricerange,area,
i would like to find a restaurant in the $area$ part of town that serves,inform,,,area,,
could i have the $addr$ and $pricerange$ please,request,request,,addr,pricerange,
hi im looking for,hello,,,,,
im looking for an $pricerange$ restaurant and it should be in the $area$ part of town,inform,inform,,pricerange,area,
is it an $pricerange$ restaurant,confirm,,,pricerange,,
and the type of $food$ they serve,request,,,food,,
wha what type of $food$,request,,,food,,
i would like to find an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
is there another alternative,reqalts,,,,,
oh so what is the $phone$,request,,,phone,,
what about the $postcode$,request,,,postcode,,
another please,reqalts,,,,,
another,reqalts,,,,,
other,reqalts,,,,,
a restaurant $area$ part of town,inform,,,area,,
$food$ food in $area$ part of town,inform,inform,,food,area,
just fuck every time i do it and this moron says that its $food$ sucks,inform,,,food,,
want $food$ food,inform,,,food,,
$addr$ $phone$ $pricerange$,request,request,request,addr,phone,pricerange
anything elses,reqalts,,,,,
um do not care,dontcare,,,,,
i dont care bye,dontcare,,,,,
$pricerange$ price range please,inform,,,pricerange,,
asian food,inform,,,food,,
$pricerange$ $food$ food,inform,inform,,food,pricerange,
where,request,,,addr,,
chinses,inform,,,food,,
itailian,inform,,,food,,
restaurant in $area$,inform,,,area,,
$food$ in the $area$ part of town,inform,inform,,food,area,
$pricerange$ priced restaurant in $area$ part of town,inform,inform,,pricerange,area,
what is $addr$ and $phone$,request,request,,addr,phone,
restaurant in the $area$ part of town,inform,,,area,,
restaurant in the $area$ part of town $food$,inform,inform,,food,area,
serving $food$ food,inform,,,food,,
restaurant in $area$ part of town,inform,,,area,,
a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
no im looking,negate,,,,,
serves $pricerange$,inform,,,pricerange,,
im looking for a $pricerange$ restaurant in $area$ part of town,inform,inform,,pricerange,area,
can i have the $addr$ and the,request,,,addr,,
whats the $addr$ again,request,,,addr,,
may i have the $addr$ and $phone$ please,request,request,,addr,phone,
$food$ food $pricerange$ restaurant,inform,inform,,food,pricerange,
a $pricerange$ $food$ restaurant,inform,inform,,food,pricerange,
how about a $pricerange$ $food$ restaurant,inform,inform,,food,pricerange,
uh whats the $phone$ and $addr$ please,request,request,,phone,addr,
price over food $area$ part of town,inform,inform,,food,area,
class over,inform,,,food,,
cross over,inform,,,food,,
may i have the $phone$ please,request,,,phone,,
how about in the $area$ area,inform,,,area,,
is there one in the $area$ area,inform,,,area,,
how about $area$,inform,,,area,,
how about the $area$ area,inform,,,area,,
and asian,inform,,,food,,
i want to find a $pricerange$ priced restaurant that serves $food$ food,inform,inform,,food,pricerange,
im looking for $pricerange$ food,inform,,,pricerange,,
and their $phone$,request,,,phone,,
$area$ of town,inform,,,area,,
and their $postcode$,request,,,postcode,,
hello welcome,hello,,,,,
$name$,inform,,,name,,
im looking for a $pricerange$ priced restaurant in $area$ part of,inform,inform,,pricerange,area,
and whats their $phone$,request,,,phone,,
and mail $postcode$,request,,,postcode,,
whats their $postcode$,request,,,postcode,,
hi im looking for $food$ food,inform,,,food,,
im looking for a $pricerange$ restaurant in $area$ part of,inform,inform,,pricerange,area,
and whats their $addr$,request,,,addr,,
signaporian,inform,,,food,,
what else,reqalts,,,,,
and whats the $addr$,request,,,addr,,
what about $food$ foods,inform,,,food,,
and their $addr$,request,,,addr,,
im looking for a restaurant in the $area$ part of town that,inform,,,area,,
hi im looking for an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
can i have the $addr$ please,request,,,addr,,
how about the $area$ area,inform,,,area,,
can you give me the $phone$,request,,,phone,,
i wanna find a $pricerange$ priced restaurant in the $area$ part of t,inform,inform,,pricerange,area,
i need to find a $pricerange$ priced restaurant,inform,,,pricerange,,
$food$ type food,inform,,,food,,
im looking for a restaurant on the $area$ part of town,inform,,,area,,
restaurant in central,inform,,,area,,
i want to find a $pricerange$ priced restaurant in the $area$ part town,inform,inform,,pricerange,area,
a $pricerange$ priced restaurant in the $area$ of town,inform,inform,,pricerange,area,
what is the $addr$ and tele$phone$,request,request,,addr,phone,
and the tele$phone$,request,,,phone,,
uh thank you good bye,bye,,,,,
is there an $food$ restaurant in the $area$ of town,inform,inform,,food,area,
what about $food$ food,inform,,,food,,
uh can i have the $addr$,request,,,addr,,
i want to find a restaurant in the $area$ part of town and it should serve,inform,,,area,,
uh what about $food$ food,inform,,,food,,
uh could you give me the $addr$ and tele$phone$,request,request,,addr,phone,
and what $area$ is it,request,,,area,,
uh okay thank you good bye,bye,,,,,
i want to find a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
id like a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
good bye thank you,bye,,,,,
im looking for an $pricerange$,inform,,,pricerange,,
and what is the $phone$,request,,,phone,,
yes im looking for an $pricerange$ restaurant and it should serve,inform,,,pricerange,,
is there an $pricerange$ restaurant that serves $food$,inform,inform,,food,pricerange,
i want to find an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
im looking for an $pricerange$ restaurant that serves $food$,inform,inform,,food,pricerange,
i want to find an $pricerange$ restaurant that,inform,,,pricerange,,
what is the pri what is the tele$phone$,request,,,phone,,
i want to find a restaurant in the $area$ that should serve $food$ food,inform,inform,,food,area,
uh is there a $food$ restaurant in the $area$ of town,confirm,confirm,,food,area,
i want to find a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
uh what is the $addr$,request,,,addr,,
belgium food,inform,,,food,,
tele$phone$,request,,,phone,,
central,inform,,,area,,
spensive,inform,,,pricerange,,
in the $area$,request,,,area,,
okay the $addr$,request,,,addr,,
yes $addr$,request,,,addr,,
hi i want a restaurant,hello,,,,,
that serves $food$ food,inform,,,food,,
and what $area$ is that,request,,,area,,
what about $food$ type of food,inform,,,food,,
no american food,negate,,,,,
no i want american food,negate,,,,,
how about american food,reqalts,,,,,
what about american food,inform,,,food,,
earetree $food$ food,inform,,,food,,
what about earatree food,reqalts,,,,,
can i have their $addr$,request,,,addr,,
can i have their $phone$,request,,,phone,,
i want a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
does it what kind of $food$ does it serve,request,,,food,,
what about in the $area$ of town,inform,,,area,,
i would like australian asian food,inform,,,food,,
what about australian asian,inform,,,food,,
i want a $pricerange$ priced restaurant that,inform,,,pricerange,,
does it serve $food$,confirm,,,food,,
is there a $food$,confirm,,,food,,
are they $pricerange$,inform,,,pricerange,,
and what $area$ of town are they,request,,,area,,
i want a $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
i want $food$ ffood,inform,,,food,,
i want a $pricerange$ priced restaurant that serves $food$ food,inform,inform,,food,pricerange,
how about $pricerange$,inform,,,pricerange,,
i want an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
and what type of whats the $phone$,request,,,phone,,
and what type of $food$ does it serve,request,,,food,,
i want a $food$ restaurant in the $area$ part of town,inform,inform,,food,area,
can i have their $addr$ please,request,,,addr,,
$pricerange$ pri,inform,,,pricerange,,
um yes,affirm,,,,,
$food$ what,request,,,food,,
is there anyone else,reqalts,,,,,
i dont want $food$,negate,,,food,,
$pricerange$ restaurant that serves,inform,,,pricerange,,
serve hello food,hello,,,,,
i need to find a restaurant in the $area$ and it should serve $food$ food,inform,inform,,food,area,
and can i get the $addr$ $phone$ and $pricerange$,request,request,request,addr,phone,pricerange
it should be in the $area$ part of town,inform,,,area,,
looking for a $pricerange$ restaurant that serves steak house food,inform,inform,,food,pricerange,
i need a restaurant in the $area$,inform,,,area,,
part of town that serves $food$ food,inform,,,food,,
i need one in the $pricerange$ price range,inform,,,pricerange,,
well can i get the $addr$ and the $postcode$,request,request,,addr,postcode,
yes knocking,affirm,,,,,
whats the $addr$ $phone$,request,request,,addr,phone,
any time,dontcare,,,,,
a restaurant serving $food$ food,inform,,,food,,
sea food restaurant,inform,,,food,,
hi im looking for a restaurant in the $area$ part of town that serves baskaye food,inform,inform,,food,area,
does it serve baskaye food,confirm,,,food,,
does it serve baskey food,confirm,,,food,,
$pricerange$ priced restaurant that serves $food$ food,inform,inform,,food,pricerange,
and where is it,request,,,addr,,
im looking for a restaurant in the $area$ part of town that serves canape food,inform,,,area,,
can you give me the $addr$ and $phone$,request,request,,addr,phone,
hi im looking for an restaurant in the $area$ that serves $food$ food,inform,inform,,food,area,
yes that sells $food$ food,inform,,,food,,
hi i am looking for a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
um anything,dontcare,,,,,
what kind of $food$ do they have there,request,,,food,,
thank you good b,bye,,,,,
ah $area$,inform,,,area,,
looking for a restaurant in $area$ part of town serving $food$,inform,inform,,food,area,
i dont care is there anything else,reqalts,,,,,
find restaurant in $area$ part of town serving asian food,inform,inform,,food,area,
find $food$ restaurant in $area$ part of town,inform,inform,,food,area,
find $food$ restaurant in $area$ of town,inform,inform,,food,area,
the $pricerange$,request,,,pricerange,,
find restaurant in $area$ of town serving $food$ f,inform,inform,,food,area,
how about the $area$ of town,inform,,,area,,
find a $pricerange$ restaurant,inform,,,pricerange,,
find restaurant in $area$ part of town serving $food$ food,inform,inform,,food,area,
find restaurant in $area$ part of town serving asian,inform,inform,,food,area,
find restaurant in $area$ part of town,inform,,,area,,
find restaurant serving asian,inform,,,food,,
find restaurant serving $food$,inform,,,food,,
serving $food$,inform,,,food,,
find $pricerange$ priced $food$ restaurant,inform,inform,,food,pricerange,
find $food$,inform,,,food,,
find $food$ food,inform,,,food,,
find $food$ restaurant,inform,,,food,,
what $area$ is $name$ $food$ restaurant in,request,inform,inform,area,name,food
what $area$ are they in,request,,,area,,
find $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
what is the $addr$ and $postcode$,request,request,,addr,postcode,
what is the $addr$ of $name$,request,inform,,addr,name,
im looking for an $pricerange$ restaurant with $food$ food,inform,inform,,food,pricerange,
is there one with $food$ food,inform,,,food,,
how about one with $food$ food,inform,,,food,,
im looking for a restaurant with $food$ type,inform,,,food,,
im looking for barbecue food,inform,,,food,,
do you have $food$ food,inform,,,food,,
hi im looking for a $pricerange$ restaurant with $food$ food,inform,inform,,food,pricerange,
uh can i find a restaurant with $food$ food,inform,,,food,,
im looking for a $pricerange$ restaurant with $food$ food,inform,inform,,food,pricerange,
can i have the $area$ of the venue,request,,,area,,
hi im looking for a $pricerange$ priced restaurant in the $area$ part of,inform,inform,,pricerange,area,
restaurant the serves $food$ food,inform,,,food,,
is that in the $area$,confirm,,,area,,
i want a restaurant that serves $food$ food in the $area$,inform,inform,,food,area,
a restaurant with $food$ food,inform,,,food,,
uh a restaurant in the $area$ part of town,inform,,,area,,
yea thank you good bye,affirm,,,,,
an $area$,request,,,area,,
$area$ $area$,inform,,,area,,
belgium,inform,,,food,,
i am looking for a $pricerange$ priced restaurant,inform,,,pricerange,,
may i have the $addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
and may i have the $postcode$,request,,,postcode,,
do they serve $food$ food,confirm,,,food,,
may i have the $addr$ and $area$,request,request,,addr,area,
tv_ it doesnt matter,dontcare,,,,,
tv_ im looking for a restaurant in the $pricerange$ pri,inform,,,pricerange,,
are there any venues that serve $food$ type food,inform,,,food,,
is there any restaurants that serve $food$ food,inform,,,food,,
is it in the $pricerange$ price range,confirm,,,pricerange,,
may i have the $phone$ talking,request,,,phone,,
may i have the $addr$ and type of $food$,request,request,,addr,food,
the type of $food$,request,,,food,,
i want to find a $pricerange$ priced restaurant that serves,inform,,,pricerange,,
may i have the $phone$ and $postcode$,request,request,,phone,postcode,
i want to find a restaurant in $area$ area,inform,,,area,,
may i have the $addr$ and $phone$ nymber,request,request,,addr,phone,
a restaurant in $area$ area,inform,,,area,,
$pricerange$ restaurant serves,inform,,,pricerange,,
$area$ train,request,,,area,,
arotrian,inform,,,food,,
$area$ of the venue,request,,,area,,
$pricerange$ priced in $area$ part,inform,inform,,pricerange,area,
can i have a restaurant in the $area$ part of town,inform,,,area,,
can i have a $food$ restaurant,inform,,,food,,
can i have an $pricerange$ restaurant,inform,,,pricerange,,
id like a restaurant in the $area$ part of town,inform,,,area,,
$pricerange$ price range is fine,inform,,,pricerange,,
can i have a $pricerange$ priced restaurant,inform,,,pricerange,,
could i have a $pricerange$ restaurant,inform,,,pricerange,,
and what about the $phone$,request,,,phone,,
uh the $area$,inform,,,area,,
is doesnt matter,dontcare,,,,,
restaurant serving $food$ food,inform,,,food,,
uh what about $food$,inform,,,food,,
okay what about $food$ food,inform,,,food,,
in the $area$,inform,,,area,,
im looking for a restaurant in the $area$ part of town serving $food$,inform,inform,,food,area,
no the $area$,negate,,,area,,
yes in the $area$ part of town,inform,,,area,,
does it serve $food$ type of food,confirm,,,food,,
okay what about $food$,inform,,,food,,
does it serve $food$ serve,confirm,,,food,,
what is the $phone$ and $pricerange$,request,request,,phone,pricerange,
in the inner $area$,inform,,,area,,
no in the $area$ part of town,negate,,,area,,
i want something in the $area$ part of town,inform,,,area,,
i want something in the $area$,inform,,,area,,
type of $food$ does it serve,request,,,food,,
i want to find a restaurant in the $area$ that serves $food$ food,inform,inform,,food,area,
i want to find a restaurant in the $area$ that serves $food$ food,inform,inform,,food,area,
yeah what about $food$ food,inform,,,food,,
im trying to find a $pricerange$ restaurant in the $area$ of town,inform,inform,,pricerange,area,
is it in the $area$ of town,confirm,,,area,,
im looking for a restaurant in the $area$ part of town that serves halo food,inform,,,area,,
no what about $food$ food,negate,,,food,,
i want a restaurant in the $area$ part of town serving $food$ food,inform,inform,,food,area,
what is the $addr$ $phone$ and the $pricerange$,request,request,request,addr,phone,pricerange
im looking for a restaurant in the $area$ that serves $food$ food,inform,inform,,food,area,
is it in the $area$,confirm,,,area,,
okay what is the $addr$ and $phone$,request,request,,addr,phone,
yes and in $food$ please,inform,,,food,,
what is um the $addr$ and $phone$,request,request,,addr,phone,
i want to find an $pricerange$ restaurant in the $area$ part of t,inform,inform,,pricerange,area,
do you have anything else,reqalts,,,,,
i want a $pricerange$ restaurant in the $area$,inform,inform,,pricerange,area,
i want a restaurant in the $area$ part of town,inform,,,area,,
i want a restaurant in the $area$,inform,,,area,,
what is the $addr$ $phone$,request,request,,addr,phone,
hello darling im looking for a restaurant in the $area$ part of town,inform,,,area,,
it doesnt matter dear,dontcare,,,,,
$food$ food please,inform,,,food,,
excellent and what is the $pricerange$ of that venue,request,,,pricerange,,
hi need an,hello,,,,,
id like to find a $pricerange$ priced restaurant,inform,,,pricerange,,
i need it in the $area$ part of town,inform,,,area,,
and what kind of $food$ does the venue ser,request,,,food,,
hi im looking for a restaurant,hello,,,,,
what is the $phone$ of that venue,request,,,phone,,
i need a $pricerange$ priced restaurant serving $food$ food,inform,inform,,food,pricerange,
i want to find an $pricerange$ restaurant on the $area$ part of town,inform,inform,,pricerange,area,
can i have an $addr$,request,,,addr,,
what type of $food$ is that,request,,,food,,
i want to find a $pricerange$ priced restaurant on the $area$ p,inform,inform,,pricerange,area,
i am looking for an $pricerange$ restaurant on the $area$ part of town,inform,inform,,pricerange,area,
steak,inform,,,food,,
